,school,district,county,snr_enroll,sat_snr_testers,sat_num_erw_bm,sat_pct_erw_bm,sat_num_math_bm,sat_pct_math_bm,sat_num_both_bm,sat_pct_both_bm,act_testers,act_avg_read_scr,act_avg_eng_scr,act_avg_math_scr,act_avg_sci_scr,num_act_benchmark,pct_act_benchmark,sat_pct_participation,act_pct_participation
1123,Silver Creek High,East Side Union High,Santa Clara,592.0,268.0,221.0,82.46,192.0,71.64,181.0,67.54,50.0,25.0,25.0,26.0,25.0,41.0,82.0,45.27027027027027,8.445945945945946
1124,Westmont High,Campbell Union High,Santa Clara,354.0,129.0,122.0,94.57,99.0,76.74,99.0,76.74,71.0,28.0,28.0,25.0,26.0,60.0,84.51,36.440677966101696,20.056497175141246
1125,Adrian Wilcox High,Santa Clara Unified,Santa Clara,458.0,106.0,97.0,91.51,84.0,79.25,82.0,77.36,138.0,25.0,24.0,24.0,24.0,93.0,67.39,23.144104803493452,30.131004366812224
1126,Willow Glen High,San Jose Unified,Santa Clara,407.0,112.0,94.0,83.93,71.0,63.39,70.0,62.5,55.0,26.0,25.0,24.0,25.0,42.0,76.36,27.51842751842752,13.513513513513514
1127,Scotts Valley High,Scotts Valley Unified,Santa Cruz,192.0,90.0,84.0,93.33,73.0,81.11,73.0,81.11,60.0,27.0,26.0,25.0,25.0,52.0,86.67,46.875,31.25
1128,Pacific Collegiate Charter,Santa Cruz County Office of Education,Santa Cruz,90.0,48.0,47.0,97.92,42.0,87.5,42.0,87.5,48.0,29.0,29.0,27.0,27.0,46.0,95.83,53.333333333333336,53.333333333333336
1129,Aptos High,Pajaro Valley Unified,Santa Cruz,335.0,121.0,109.0,90.08,84.0,69.42,82.0,67.77,65.0,26.0,25.0,24.0,24.0,53.0,81.54,36.11940298507463,19.402985074626866
1130,Harbor High,Santa Cruz City High,Santa Cruz,179.0,65.0,50.0,76.92,43.0,66.15,39.0,60.0,45.0,20.0,19.0,21.0,20.0,17.0,37.78,36.312849162011176,25.139664804469277
1131,San Lorenzo Valley High,San Lorenzo Valley Unified,Santa Cruz,139.0,40.0,33.0,82.5,23.0,57.5,23.0,57.5,20.0,26.0,26.0,23.0,25.0,15.0,75.0,28.776978417266186,14.388489208633093
1132,Santa Cruz High,Santa Cruz City High,Santa Cruz,268.0,112.0,97.0,86.61,88.0,78.57,84.0,75.0,50.0,26.0,25.0,26.0,25.0,44.0,88.0,41.7910447761194,18.65671641791045
