,school,district,county,snr_enroll,sat_snr_testers,sat_num_erw_bm,sat_pct_erw_bm,sat_num_math_bm,sat_pct_math_bm,sat_num_both_bm,sat_pct_both_bm,act_testers,act_avg_read_scr,act_avg_eng_scr,act_avg_math_scr,act_avg_sci_scr,num_act_benchmark,pct_act_benchmark,sat_pct_participation,act_pct_participation
1213,Oak Park High,Oak Park Unified,Ventura,377.0,155.0,150.0,96.77,139.0,89.68,138.0,89.03,152.0,29.0,29.0,27.0,27.0,143.0,94.08,41.11405835543766,40.318302387267906
1215,Santa Susana High,Simi Valley Unified,Ventura,252.0,67.0,65.0,97.01,54.0,80.6,54.0,80.6,26.0,28.0,27.0,25.0,26.0,26.0,100.0,26.58730158730159,10.317460317460316
1216,Foothill Technology High,Ventura Unified,Ventura,222.0,92.0,79.0,85.87,64.0,69.57,63.0,68.48,61.0,24.0,23.0,22.0,23.0,34.0,55.74,41.44144144144144,27.47747747747748
1217,Pacifica High,Oxnard Union High,Ventura,726.0,491.0,198.0,40.33,115.0,23.42,101.0,20.57,16.0,22.0,20.0,21.0,21.0,8.0,50.0,67.63085399449037,2.203856749311295
1218,Buena High,Ventura Unified,Ventura,412.0,110.0,88.0,80.0,60.0,54.55,58.0,52.73,55.0,23.0,22.0,22.0,22.0,32.0,58.18,26.699029126213592,13.349514563106796
1219,Adolfo Camarillo High,Oxnard Union High,Ventura,507.0,352.0,242.0,68.75,201.0,57.1,184.0,52.27,91.0,23.0,23.0,23.0,22.0,55.0,60.44,69.42800788954635,17.94871794871795
1220,Channel Islands High,Oxnard Union High,Ventura,611.0,421.0,153.0,36.34,82.0,19.48,76.0,18.05,74.0,19.0,18.0,18.0,18.0,17.0,22.97,68.90343698854338,12.111292962356792
1221,Fillmore Senior High,Fillmore Unified,Ventura,250.0,116.0,84.0,72.41,61.0,52.59,57.0,49.14,29.0,24.0,23.0,23.0,23.0,19.0,65.52,46.400000000000006,11.600000000000001
1222,Hueneme High,Oxnard Union High,Ventura,491.0,402.0,117.0,29.1,73.0,18.16,63.0,15.67,30.0,21.0,19.0,20.0,19.0,13.0,43.33,81.87372708757637,6.109979633401222
1223,Moorpark High,Moorpark Unified,Ventura,457.0,121.0,105.0,86.78,88.0,72.73,85.0,70.25,108.0,25.0,24.0,25.0,24.0,85.0,78.7,26.477024070021884,23.63238512035011
1224,Newbury Park High,Conejo Valley Unified,Ventura,596.0,220.0,205.0,93.18,168.0,76.36,168.0,76.36,154.0,27.0,26.0,26.0,25.0,127.0,82.47,36.91275167785235,25.838926174496645
1225,Nordhoff High,Ojai Unified,Ventura,157.0,49.0,40.0,81.63,28.0,57.14,28.0,57.14,15.0,26.0,26.0,24.0,24.0,13.0,86.67,31.210191082802545,9.554140127388536
1226,Oxnard High,Oxnard Union High,Ventura,596.0,395.0,204.0,51.65,115.0,29.11,103.0,26.08,31.0,21.0,22.0,22.0,21.0,17.0,54.84,66.2751677852349,5.201342281879195
1227,Rio Mesa High,Oxnard Union High,Ventura,549.0,352.0,158.0,44.89,105.0,29.83,98.0,27.84,37.0,22.0,22.0,22.0,22.0,21.0,56.76,64.11657559198542,6.739526411657559
1228,Royal High,Simi Valley Unified,Ventura,456.0,133.0,119.0,89.47,87.0,65.41,81.0,60.9,55.0,25.0,25.0,24.0,25.0,44.0,80.0,29.166666666666668,12.06140350877193
1229,Santa Paula High,Santa Paula Unified,Ventura,372.0,95.0,68.0,71.58,45.0,47.37,41.0,43.16,126.0,20.0,18.0,19.0,20.0,44.0,34.92,25.537634408602152,33.87096774193548
1230,Simi Valley High,Simi Valley Unified,Ventura,537.0,118.0,97.0,82.2,76.0,64.41,69.0,58.47,75.0,23.0,24.0,23.0,23.0,50.0,66.67,21.973929236499067,13.966480446927374
1231,Thousand Oaks High,Conejo Valley Unified,Ventura,528.0,169.0,160.0,94.67,128.0,75.74,127.0,75.15,119.0,27.0,26.0,26.0,26.0,103.0,86.55,32.00757575757576,22.53787878787879
1232,Ventura High,Ventura Unified,Ventura,480.0,119.0,104.0,87.39,77.0,64.71,76.0,63.87,88.0,24.0,22.0,22.0,22.0,59.0,67.05,24.791666666666668,18.333333333333332
1234,Davis Senior High,Davis Joint Unified,Yolo,569.0,268.0,256.0,95.52,244.0,91.04,238.0,88.81,144.0,28.0,28.0,28.0,27.0,135.0,93.75,47.10017574692443,25.30755711775044
1236,River City High,Washington Unified,Yolo,476.0,181.0,109.0,60.22,71.0,39.23,66.0,36.46,54.0,21.0,19.0,20.0,20.0,23.0,42.59,38.02521008403361,11.344537815126051
1238,Woodland Senior High,Woodland Joint Unified,Yolo,343.0,98.0,62.0,63.27,40.0,40.82,37.0,37.76,59.0,19.0,18.0,18.0,19.0,22.0,37.29,28.57142857142857,17.20116618075802
1239,Lindhurst High,Marysville Joint Unified,Yuba,214.0,38.0,23.0,60.53,14.0,36.84,13.0,34.21,19.0,22.0,18.0,20.0,20.0,8.0,42.11,17.75700934579439,8.878504672897195
1241,Marysville High,Marysville Joint Unified,Yuba,173.0,50.0,40.0,80.0,27.0,54.0,26.0,52.0,22.0,19.0,18.0,19.0,18.0,8.0,36.36,28.901734104046245,12.716763005780345
1242,Wheatland Union High,Wheatland Union High,Yuba,166.0,52.0,43.0,82.69,27.0,51.92,26.0,50.0,18.0,23.0,21.0,21.0,22.0,10.0,55.56,31.32530120481928,10.843373493975903
1245,Vaughn Next Century Learning Center,Los Angeles Unified,Los Angeles,157.0,102.0,50.0,49.02,23.0,22.55,22.0,21.57,35.0,18.0,17.0,17.0,18.0,7.0,20.0,64.96815286624204,22.29299363057325
1248,Foshay Learning Center,Los Angeles Unified,Los Angeles,166.0,106.0,68.0,64.15,36.0,33.96,36.0,33.96,56.0,19.0,18.0,19.0,18.0,19.0,33.93,63.85542168674698,33.734939759036145
1249,Sun Valley Magnet,Los Angeles Unified,Los Angeles,71.0,28.0,15.0,53.57,13.0,46.43,9.0,32.14,29.0,18.0,17.0,19.0,19.0,7.0,24.14,39.436619718309856,40.845070422535215
1250,Fremont Academy of Engineering and Design,Pomona Unified,Los Angeles,90.0,43.0,22.0,51.16,9.0,20.93,9.0,20.93,19.0,19.0,17.0,18.0,18.0,6.0,31.58,47.77777777777778,21.11111111111111
1252,The O'Farrell Charter,San Diego Unified,San Diego,125.0,64.0,44.0,68.75,33.0,51.56,28.0,43.75,97.0,19.0,18.0,19.0,20.0,27.0,27.84,51.2,77.60000000000001
1254,Cobalt Institute of Math and Science Academy,Victor Valley Union High,San Bernardino,103.0,60.0,35.0,58.33,15.0,25.0,14.0,23.33,19.0,20.0,18.0,19.0,19.0,7.0,36.84,58.252427184466015,18.446601941747574
1257,PUC Community Charter Middle and PUC Community Charter Early College High,Los Angeles Unified,Los Angeles,89.0,62.0,27.0,43.55,16.0,25.81,15.0,24.19,83.0,17.0,16.0,18.0,18.0,20.0,24.1,69.66292134831461,93.25842696629213
1259,New West Charter,SBE - New West Charter,Los Angeles,90.0,47.0,43.0,91.49,33.0,70.21,32.0,68.09,19.0,27.0,28.0,24.0,25.0,16.0,84.21,52.22222222222223,21.11111111111111
